2024-04-08 17:00:37 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:01:22 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:02:07 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:02:53 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:03:38 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:04:23 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:05:08 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:05:53 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:06:38 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:07:23 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:08:08 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:08:53 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:09:38 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:10:23 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:11:08 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:11:53 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:12:38 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:13:23 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:14:08 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:14:53 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:15:38 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:16:23 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:17:08 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:17:53 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:18:38 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:19:23 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:20:08 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:20:54 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:21:39 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:22:24 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
2024-04-08 17:23:09 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 1656. worker_id: dd21cae9. 
